fips,total_deaths,covid_deaths,urban_rural_desc,pct_covid_deaths,county,state
31111,934,129,Micropolitan,0.1381156316916488,Lincoln,Nebraska
31119,799,103,Micropolitan,0.12891113892365458,Madison,Nebraska
31153,1793,111,Medium metro,0.0619074177356386,Sarpy,Nebraska
31157,971,148,Micropolitan,0.15242018537590113,Scotts Bluff,Nebraska
33001,1351,130,Micropolitan,0.09622501850481126,Belknap,New Hampshire
33011,7555,762,Medium metro,0.10086035737921906,Hillsborough,New Hampshire
33013,3220,172,Micropolitan,0.05341614906832298,Merrimack,New Hampshire
33015,4746,293,Large fringe metro,0.0617361989043405,Rockingham,New Hampshire
33017,2534,149,Large fringe metro,0.058800315706393054,Strafford,New Hampshire
34001,6536,758,Medium metro,0.11597307221542227,Atlantic,New Jersey
34003,17935,3337,Large fringe metro,0.18606077502090884,Bergen,New Jersey
34005,7694,879,Large fringe metro,0.11424486612945152,Burlington,New Jersey
34007,13261,1540,Large fringe metro,0.11613000527863661,Camden,New Jersey
34009,2369,182,Small metro,0.07682566483748417,Cape May,New Jersey
34011,3384,442,Small metro,0.13061465721040189,Cumberland,New Jersey
34013,16117,3249,Large central metro,0.20158838493516162,Essex,New Jersey
34015,5746,693,Large fringe metro,0.12060563870518622,Gloucester,New Jersey
34017,8202,1803,Large central metro,0.21982443306510607,Hudson,New Jersey
34019,1723,186,Large fringe metro,0.10795124782356355,Hunterdon,New Jersey
34021,6413,933,Medium metro,0.14548573210665836,Mercer,New Jersey
34023,15360,2606,Large fringe metro,0.16966145833333332,Middlesex,New Jersey
34025,13733,1845,Large fringe metro,0.1343479210660453,Monmouth,New Jersey
34027,10668,1678,Large fringe metro,0.1572928383952006,Morris,New Jersey
34029,14769,2006,Large fringe metro,0.1358250389329,Ocean,New Jersey
34031,8397,1678,Large fringe metro,0.19983327378825771,Passaic,New Jersey
34033,1370,137,Large fringe metro,0.1,Salem,New Jersey
34035,4716,678,Large fringe metro,0.14376590330788805,Somerset,New Jersey
34037,2487,272,Large fringe metro,0.1093687173301166,Sussex,New Jersey
34039,9538,1719,Large central metro,0.18022646257076955,Union,New Jersey
34041,2032,261,Medium metro,0.12844488188976377,Warren,New Jersey
35001,16700,2148,Medium metro,0.12862275449101795,Bernalillo,New Mexico
35005,1417,215,Micropolitan,0.15172900494001412,Chaves,New Mexico
35009,812,114,Micropolitan,0.14039408866995073,Curry,New Mexico
35013,4456,618,Small metro,0.13868940754039497,Do̱a Ana,New Mexico
35015,1031,134,Micropolitan,0.12997090203685743,Eddy,New Mexico
35025,1005,147,Micropolitan,0.14626865671641792,Lea,New Mexico
35031,1351,245,Micropolitan,0.18134715025906736,McKinley,New Mexico
35043,3084,559,Medium metro,0.18125810635538261,Sandoval,New Mexico
35045,2819,594,Small metro,0.21071301880099327,San Juan,New Mexico
35049,2989,251,Small metro,0.08397457343593175,Santa Fe,New Mexico
32003,44002,6779,Large central metro,0.15406117903731648,Clark,Nevada
32031,10734,1243,Medium metro,0.11580026085336315,Washoe,Nevada
32510,2362,286,Small metro,0.12108382726502964,Carson City,Nevada
36001,8538,845,Medium metro,0.09896931365659405,Albany,New York
36005,28613,5968,Large central metro,0.20857652116170972,Bronx,New York
36007,5165,612,Small metro,0.11848983543078412,Broome,New York
36009,1693,184,Micropolitan,0.10868281157708211,Cattaraugus,New York
36011,1492,108,Micropolitan,0.07238605898123325,Cayuga,New York
36013,2641,232,Micropolitan,0.08784551306323363,Chautauqua,New York
36015,2051,255,Small metro,0.12432959531935642,Chemung,New York
36021,1316,142,Micropolitan,0.10790273556231003,Columbia,New York
36027,5929,675,Large fringe metro,0.11384719176926969,Dutchess,New York
36029,22880,2820,Large central metro,0.12325174825174826,Erie,New York
36035,1127,118,Micropolitan,0.10470275066548358,Fulton,New York
36037,1200,167,Micropolitan,0.13916666666666666,Genesee,New York
36045,1801,130,Small metro,0.072182121043864525,Jefferson,New York
36047,38448,9023,Large central metro,0.234680607573866,Kings,New York
36053,1187,117,Medium metro,0.09856781802864364,Madison,New York
36055,17652,1871,Large central metro,0.10599365510990257,Monroe,New York
36057,1300,156,Micropolitan,0.12,Montgomery,New York
36059,27591,5203,Large fringe metro,0.1885759849226197,Nassau,New York
36061,32564,6144,Large central metro,0.18867460999877164,New York,New York
36063,4532,385,Large fringe metro,0.08495145631067962,Niagara,New York
36065,5960,782,Medium metro,0.13120805369127517,Oneida,New York
36067,11955,1277,Medium metro,0.1068172312839816,Onondaga,New York
36069,2236,190,Large fringe metro,0.08497316636851521,Ontario,New York
36071,6282,1017,Large fringe metro,0.16189111747851004,Orange,New York
36075,1578,111,Medium metro,0.07034220532319392,Oswego,New York
36077,1719,163,Micropolitan,0.09482257126236183,Otsego,New York
36079,1072,108,Large fringe metro,0.10074626865671642,Putnam,New York
36081,32639,7865,Large central metro,0.24096939244462146,Queens,New York
36083,3069,203,Medium metro,0.06614532420984034,Rensselaer,New York
36085,8671,1775,Large central metro,0.20470533963787338,Richmond,New York
36087,5088,1036,Large fringe metro,0.20361635220125787,Rockland,New York
36089,2008,171,Micropolitan,0.08515936254980079,St. Lawrence,New York
36091,3168,212,Medium metro,0.06691919191919192,Saratoga,New York
36093,3381,257,Medium metro,0.07601301390121266,Schenectady,New York
36101,2003,192,Micropolitan,0.09585621567648527,Steuben,New York
36103,29204,4905,Large fringe metro,0.16795644432269552,Suffolk,New York
36105,1275,102,Noncore,0.08,Sullivan,New York
36111,2857,217,Small metro,0.0759537976898845,Ulster,New York
36113,2021,188,Small metro,0.09302325581395349,Warren,New York
36119,16432,3098,Large fringe metro,0.18853456669912366,Westchester,New York
39003,3316,566,Small metro,0.1706875753920386,Allen,Ohio
39005,1100,137,Micropolitan,0.12454545454545454,Ashland,Ohio
39007,2204,234,Micropolitan,0.10617059891107078,Ashtabula,Ohio
39013,1256,121,Small metro,0.0963375796178344,Belmont,Ohio
39017,7066,834,Large fringe metro,0.1180300028304557,Butler,Ohio
39023,3521,379,Small metro,0.10763987503550128,Clark,Ohio
39025,2635,202,Large fringe metro,0.07666034155597723,Clermont,Ohio
39029,2365,305,Micropolitan,0.12896405919661733,Columbiana,Ohio
39033,1091,139,Micropolitan,0.12740604949587533,Crawford,Ohio
39035,35722,3848,Large central metro,0.10772073232181849,Cuyahoga,Ohio
39037,1103,117,Micropolitan,0.10607434270172257,Darke,Ohio
39039,1212,113,Micropolitan,0.09323432343234324,Defiance,Ohio
39041,1948,115,Large fringe metro,0.059034907597535935,Delaware,Ohio
39043,2354,272,Micropolitan,0.11554800339847068,Erie,Ohio
39045,2984,312,Large fringe metro,0.10455764075067024,Fairfield,Ohio
39049,29860,3336,Large central metro,0.11172136637642331,Franklin,Ohio
39053,925,151,Micropolitan,0.16324324324324324,Gallia,Ohio
39055,2005,263,Large fringe metro,0.13117206982543642,Geauga,Ohio
39057,2743,375,Medium metro,0.13671162960262487,Greene,Ohio
39061,21939,2399,Large central metro,0.10934864852545695,Hamilton,Ohio
39063,1957,267,Micropolitan,0.13643331630045988,Hancock,Ohio
39075,742,147,Noncore,0.19811320754716982,Holmes,Ohio
39077,1141,117,Micropolitan,0.10254163014899212,Huron,Ohio
39081,1877,209,Small metro,0.11134789557805008,Jefferson,Ohio
