fips,log_poverty_rating,county,state
16085,2.9978230807457256,Valley,Idaho
16087,3.128722284338427,Washington,Idaho
17001,3.8913143993821433,Adams,Illinois
17003,3.133858125203335,Alexander,Illinois
17005,3.2833012287035497,Bond,Illinois
17007,3.6721902511882525,Boone,Illinois
17009,2.82865989653532,Brown,Illinois
17011,3.555578072772955,Bureau,Illinois
17013,2.655138434811382,Calhoun,Illinois
17015,3.1931245983544616,Carroll,Illinois
17017,3.1914510144648953,Cass,Illinois
17019,4.5862045969160015,Champaign,Illinois
17021,3.576226137449605,Christian,Illinois
17023,3.2137832993353044,Clark,Illinois
17025,3.253580289562183,Clay,Illinois
17027,3.4224256763712044,Clinton,Illinois
17029,3.9007493580610797,Coles,Illinois
17031,5.819337925820799,Cook,Illinois
17033,3.3364597338485296,Crawford,Illinois
17035,3.031408464251624,Cumberland,Illinois
17037,4.1108926008022175,DeKalb,Illinois
17039,3.226084115975824,De Witt,Illinois
17041,3.188647295999717,Douglas,Illinois
17043,4.73904200747027,DuPage,Illinois
17045,3.346352974450639,Edgar,Illinois
17047,2.8715729355458786,Edwards,Illinois
17049,3.4895366294820955,Effingham,Illinois
17051,3.471438407389299,Fayette,Illinois
17053,3.0989896394011773,Ford,Illinois
17055,3.7923216363515735,Franklin,Illinois
17057,3.621280167550415,Fulton,Illinois
17059,2.9595183769729982,Gallatin,Illinois
17061,3.2380461031287955,Greene,Illinois
17063,3.4513258084895195,Grundy,Illinois
17065,3.0073209529227447,Hamilton,Illinois
17067,3.3322364154914434,Hancock,Illinois
17069,2.8344207036815328,Hardin,Illinois
17071,2.859738566197147,Henderson,Illinois
17073,3.6195107208384987,Henry,Illinois
17075,3.488973524726508,Iroquois,Illinois
17077,4.131971345281056,Jackson,Illinois
17079,2.9740509027928774,Jasper,Illinois
17081,3.721563318357481,Jefferson,Illinois
17083,3.3366598234544202,Jersey,Illinois
17085,3.2933625547114453,Jo Daviess,Illinois
17087,3.156851901070011,Johnson,Illinois
17089,4.636538042936402,Kane,Illinois
17091,4.122903649173324,Kankakee,Illinois
17093,3.7155855518931964,Kendall,Illinois
17095,3.928907690243953,Knox,Illinois
17097,4.691346764134821,Lake,Illinois
17099,4.108463541203595,LaSalle,Illinois
17101,3.3877456596088638,Lawrence,Illinois
17103,3.571009672309305,Lee,Illinois
17105,3.6353832040474985,Livingston,Illinois
17107,3.494711025205263,Logan,Illinois
